title,text,label
News headline 0,"This is the body of news article number 0. It talks about various topics such as politics, technology, and health.",REAL
News headline 1,"This is the body of news article number 1. It talks about various topics such as politics, technology, and health.",FAKE
News headline 2,"This is the body of news article number 2. It talks about various topics such as politics, technology, and health.",FAKE
News headline 3,"This is the body of news article number 3. It talks about various topics such as politics, technology, and health.",FAKE
News headline 4,"This is the body of news article number 4. It talks about various topics such as politics, technology, and health.",REAL
News headline 5,"This is the body of news article number 5. It talks about various topics such as politics, technology, and health.",REAL
News headline 6,"This is the body of news article number 6. It talks about various topics such as politics, technology, and health.",REAL
News headline 7,"This is the body of news article number 7. It talks about various topics such as politics, technology, and health.",REAL
News headline 8,"This is the body of news article number 8. It talks about various topics such as politics, technology, and health.",REAL
News headline 9,"This is the body of news article number 9. It talks about various topics such as politics, technology, and health.",FAKE
News headline 10,"This is the body of news article number 10. It talks about various topics such as politics, technology, and health.",FAKE
News headline 11,"This is the body of news article number 11. It talks about various topics such as politics, technology, and health.",REAL
News headline 12,"This is the body of news article number 12. It talks about various topics such as politics, technology, and health.",FAKE
News headline 13,"This is the body of news article number 13. It talks about various topics such as politics, technology, and health.",REAL
News headline 14,"This is the body of news article number 14. It talks about various topics such as politics, technology, and health.",FAKE
News headline 15,"This is the body of news article number 15. It talks about various topics such as politics, technology, and health.",FAKE
News headline 16,"This is the body of news article number 16. It talks about various topics such as politics, technology, and health.",REAL
News headline 17,"This is the body of news article number 17. It talks about various topics such as politics, technology, and health.",REAL
News headline 18,"This is the body of news article number 18. It talks about various topics such as politics, technology, and health.",FAKE
News headline 19,"This is the body of news article number 19. It talks about various topics such as politics, technology, and health.",FAKE
News headline 20,"This is the body of news article number 20. It talks about various topics such as politics, technology, and health.",FAKE
News headline 21,"This is the body of news article number 21. It talks about various topics such as politics, technology, and health.",REAL
News headline 22,"This is the body of news article number 22. It talks about various topics such as politics, technology, and health.",REAL
News headline 23,"This is the body of news article number 23. It talks about various topics such as politics, technology, and health.",FAKE
News headline 24,"This is the body of news article number 24. It talks about various topics such as politics, technology, and health.",FAKE
News headline 25,"This is the body of news article number 25. It talks about various topics such as politics, technology, and health.",REAL
News headline 26,"This is the body of news article number 26. It talks about various topics such as politics, technology, and health.",FAKE
News headline 27,"This is the body of news article number 27. It talks about various topics such as politics, technology, and health.",REAL
News headline 28,"This is the body of news article number 28. It talks about various topics such as politics, technology, and health.",REAL
News headline 29,"This is the body of news article number 29. It talks about various topics such as politics, technology, and health.",REAL
News headline 30,"This is the body of news article number 30. It talks about various topics such as politics, technology, and health.",FAKE
News headline 31,"This is the body of news article number 31. It talks about various topics such as politics, technology, and health.",REAL
News headline 32,"This is the body of news article number 32. It talks about various topics such as politics, technology, and health.",FAKE
News headline 33,"This is the body of news article number 33. It talks about various topics such as politics, technology, and health.",FAKE
News headline 34,"This is the body of news article number 34. It talks about various topics such as politics, technology, and health.",REAL
News headline 35,"This is the body of news article number 35. It talks about various topics such as politics, technology, and health.",REAL
News headline 36,"This is the body of news article number 36. It talks about various topics such as politics, technology, and health.",REAL
News headline 37,"This is the body of news article number 37. It talks about various topics such as politics, technology, and health.",FAKE
News headline 38,"This is the body of news article number 38. It talks about various topics such as politics, technology, and health.",REAL
